l,TT,3:EE,4:TE,
2,281000,0.0221,67.7,
3,29700,0.0189,17.4,
4,4380,0.0183,6.39,
5,1140,0.0161,2.77,
6,552,0.0121,1.4,
7,381,0.00784,0.786,
8,305,0.00451,0.484,
9,263,0.00251,0.322,
10,234,0.00163,0.229,
11,214,0.00138,0.176,
12,200,0.00132,0.149,
13,188,0.00123,0.138,
14,180,0.00109,0.139,
15,173,0.00095,0.147,
16,168,0.000877,0.158,
17,163,0.000885,0.17,
18,160,0.000943,0.181,
19,158,0.00101,0.191,
20,156,0.00105,0.198,
21,154,0.00109,0.203,
22,154,0.00112,0.207,
23,153,0.0012,0.21,
24,153,0.00132,0.213,
25,153,0.00149,0.217,
26,153,0.0017,0.221,
27,154,0.00194,0.227,
28,154,0.00221,0.233,
29,155,0.00251,0.24,
30,156,0.00284,0.246,
31,157,0.00319,0.252,
32,159,0.00356,0.257,
33,160,0.00396,0.26,
34,161,0.00437,0.261,
35,163,0.0048,0.26,
36,165,0.00526,0.257,
37,167,0.00574,0.252,
38,168,0.00626,0.246,
39,170,0.00682,0.238,
40,172,0.00742,0.23,
41,174,0.00806,0.22,
42,176,0.00873,0.209,
43,179,0.00944,0.197,
44,181,0.0102,0.184,
45,183,0.011,0.17,
46,185,0.0118,0.154,
47,188,0.0126,0.136,
48,190,0.0135,0.116,
49,192,0.0145,0.094,
50,195,0.0154,0.0703,
51,198,0.0164,0.0445,
52,200,0.0175,0.0167,
53,203,0.0185,-0.0128,
54,205,0.0197,-0.0439,
55,208,0.0208,-0.0766,
56,211,0.022,-0.111,
57,213,0.0232,-0.147,
58,216,0.0245,-0.184,
59,219,0.0258,-0.222,
60,222,0.0271,-0.263,
61,225,0.0285,-0.305,
62,228,0.0299,-0.348,
63,231,0.0314,-0.394,
64,234,0.0329,-0.441,
65,237,0.0344,-0.49,
66,240,0.036,-0.541,
67,243,0.0375,-0.594,
68,246,0.0392,-0.648,
69,249,0.0408,-0.704,
70,252,0.0425,-0.762,
71,256,0.0442,-0.821,
72,259,0.0459,-0.881,
73,262,0.0477,-0.943,
74,266,0.0495,-1.01,
75,269,0.0513,-1.07,
76,272,0.0532,-1.14,
77,276,0.055,-1.21,
78,279,0.0569,-1.28,
79,283,0.0589,-1.35,
80,286,0.0608,-1.42,
81,290,0.0628,-1.49,
82,294,0.0647,-1.57,
83,297,0.0667,-1.64,
84,301,0.0687,-1.72,
85,304,0.0707,-1.8,
86,308,0.0727,-1.88,
87,312,0.0747,-1.96,
88,316,0.0767,-2.04,
89,320,0.0787,-2.12,
90,324,0.0808,-2.2,
91,327,0.0828,-2.28,
92,331,0.0848,-2.37,
93,335,0.0868,-2.45,
94,339,0.0889,-2.54,
95,343,0.0909,-2.63,
96,347,0.0929,-2.71,
97,351,0.0949,-2.8,
98,355,0.0969,-2.89,
99,360,0.0989,-2.98,
100,364,0.101,-3.06,
101,368,0.103,-3.15,
102,372,0.105,-3.24,
103,376,0.107,-3.33,
104,381,0.108,-3.41,
105,385,0.11,-3.5,
106,389,0.112,-3.59,
107,394,0.114,-3.68,
108,398,0.116,-3.76,
109,402,0.117,-3.85,
110,407,0.119,-3.94,
111,411,0.121,-4.02,
112,416,0.122,-4.11,
113,420,0.124,-4.19,
114,424,0.126,-4.27,
115,429,0.127,-4.35,
116,433,0.128,-4.44,
117,438,0.13,-4.52,
118,443,0.131,-4.6,
119,447,0.133,-4.67,
120,452,0.134,-4.75,
121,456,0.135,-4.83,
122,461,0.136,-4.9,
123,466,0.137,-4.97,
124,470,0.138,-5.05,
125,475,0.139,-5.12,
126,479,0.14,-5.18,
127,484,0.141,-5.25,
128,489,0.142,-5.31,
129,493,0.143,-5.38,
130,498,0.144,-5.44,
131,502,0.144,-5.5,
132,507,0.145,-5.55,
133,512,0.145,-5.61,
134,516,0.146,-5.66,
135,521,0.146,-5.71,
136,526,0.146,-5.76,
137,530,0.147,-5.81,
138,535,0.147,-5.85,
139,539,0.147,-5.89,
140,544,0.147,-5.93,
141,549,0.147,-5.96,
142,553,0.147,-6,
143,558,0.147,-6.03,
144,562,0.147,-6.06,
145,567,0.147,-6.08,
146,571,0.146,-6.1,
147,576,0.146,-6.12,
148,580,0.145,-6.14,
149,585,0.145,-6.15,
150,589,0.144,-6.16,
151,594,0.144,-6.17,
152,598,0.143,-6.17,
153,602,0.142,-6.17,
154,607,0.142,-6.17,
155,611,0.141,-6.16,
156,615,0.14,-6.15,
157,620,0.139,-6.14,
158,624,0.138,-6.12,
159,628,0.137,-6.1,
160,632,0.136,-6.08,
161,636,0.135,-6.06,
162,640,0.134,-6.03,
163,644,0.132,-5.99,
164,648,0.131,-5.96,
165,652,0.13,-5.91,
166,656,0.129,-5.87,
167,660,0.127,-5.82,
168,664,0.126,-5.77,
169,667,0.125,-5.72,
170,671,0.123,-5.66,
171,675,0.122,-5.6,
172,678,0.12,-5.53,
173,682,0.119,-5.46,
174,686,0.117,-5.39,
175,689,0.116,-5.31,
176,692,0.114,-5.23,
177,696,0.113,-5.15,
178,699,0.112,-5.06,
179,702,0.11,-4.97,
180,705,0.109,-4.87,
181,709,0.107,-4.78,
182,712,0.106,-4.67,
183,715,0.104,-4.57,
184,718,0.103,-4.46,
185,720,0.102,-4.35,
186,723,0.1,-4.23,
187,726,0.0992,-4.11,
188,729,0.098,-3.99,
189,731,0.0968,-3.86,
190,734,0.0957,-3.73,
191,736,0.0947,-3.6,
192,739,0.0937,-3.46,
193,741,0.0928,-3.32,
194,743,0.0919,-3.17,
195,745,0.0911,-3.03,
196,747,0.0904,-2.88,
197,749,0.0898,-2.72,
198,751,0.0893,-2.57,
199,753,0.0888,-2.41,
200,755,0.0885,-2.25,
201,757,0.0883,-2.08,
202,758,0.0881,-1.91,
203,760,0.0881,-1.74,
204,762,0.0882,-1.57,
205,763,0.0884,-1.39,
206,764,0.0888,-1.21,
207,766,0.0893,-1.03,
208,767,0.0899,-0.844,
209,768,0.0906,-0.657,
210,769,0.0915,-0.467,
211,770,0.0926,-0.275,
212,771,0.0938,-0.0802,
213,771,0.0951,0.117,
214,772,0.0967,0.316,
215,773,0.0984,0.517,
216,773,0.1,0.72,
217,774,0.102,0.925,
218,774,0.105,1.13,
219,774,0.107,1.34,
220,774,0.11,1.55,
221,775,0.112,1.76,
222,775,0.115,1.98,
223,774,0.119,2.19,
224,774,0.122,2.41,
225,774,0.126,2.63,
226,774,0.129,2.85,
227,773,0.134,3.07,
228,773,0.138,3.29,
229,772,0.142,3.51,
230,772,0.147,3.73,
231,771,0.152,3.96,
232,770,0.157,4.18,
233,769,0.163,4.41,
234,768,0.169,4.63,
235,767,0.175,4.86,
236,766,0.181,5.08,
237,765,0.187,5.31,
238,764,0.194,5.54,
239,762,0.201,5.76,
240,761,0.208,5.99,
241,759,0.216,6.22,
242,758,0.224,6.44,
243,756,0.232,6.67,
244,754,0.24,6.9,
245,752,0.249,7.12,
246,750,0.258,7.35,
247,748,0.267,7.57,
248,746,0.277,7.79,
249,744,0.287,8.02,
250,742,0.297,8.24,
251,740,0.307,8.46,
252,737,0.318,8.67,
253,735,0.329,8.89,
254,732,0.34,9.11,
255,730,0.352,9.32,
256,727,0.364,9.54,
257,724,0.376,9.75,
258,722,0.388,9.96,
259,719,0.401,10.2,
260,716,0.414,10.4,
261,713,0.427,10.6,
262,710,0.441,10.8,
263,707,0.455,11,
264,704,0.469,11.2,
265,701,0.484,11.4,
266,697,0.499,11.6,
267,694,0.514,11.7,
268,691,0.529,11.9,
269,687,0.545,12.1,
270,684,0.561,12.3,
271,680,0.577,12.5,
272,676,0.594,12.6,
273,673,0.611,12.8,
274,669,0.628,13,
275,665,0.646,13.2,
276,662,0.663,13.3,
277,658,0.681,13.5,
278,654,0.7,13.6,
279,650,0.718,13.8,
280,646,0.737,13.9,
281,642,0.756,14.1,
282,638,0.776,14.2,
283,634,0.795,14.3,
284,630,0.815,14.5,
285,626,0.835,14.6,
286,621,0.855,14.7,
287,617,0.876,14.9,
288,613,0.897,15,
289,609,0.918,15.1,
290,604,0.939,15.2,
291,600,0.961,15.3,
292,596,0.983,15.4,
293,591,1,15.5,
294,587,1.03,15.6,
295,582,1.05,15.7,
296,578,1.07,15.7,
297,573,1.09,15.8,
298,569,1.12,15.9,
299,564,1.14,16,
300,560,1.16,16,
301,555,1.19,16.1,
302,551,1.21,16.1,
303,546,1.23,16.2,
304,542,1.26,16.2,
305,537,1.28,16.3,
306,532,1.31,16.3,
307,528,1.33,16.3,
308,523,1.35,16.3,
309,519,1.38,16.4,
310,514,1.4,16.4,
311,509,1.43,16.4,
312,505,1.45,16.4,
313,500,1.48,16.4,
314,496,1.5,16.4,
315,491,1.53,16.4,
316,486,1.55,16.3,
317,482,1.58,16.3,
318,477,1.6,16.3,
319,473,1.63,16.2,
320,468,1.65,16.2,
321,464,1.68,16.2,
322,459,1.7,16.1,
323,455,1.73,16.1,
324,450,1.75,16,
325,446,1.78,15.9,
326,441,1.8,15.9,
327,437,1.83,15.8,
328,433,1.85,15.7,
329,428,1.88,15.6,
330,424,1.9,15.6,
