# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                 
    2       2.807157476424e-07       2.209963595941e-14       6.774224474701e-11       0.000000000000e+00 
    3       2.966201082634e-08       1.890035432207e-14       1.737454379010e-11       0.000000000000e+00 
    4       4.384079251727e-09       1.825972650224e-14       6.385443203057e-12       0.000000000000e+00 
    5       1.136418701183e-09       1.612478876650e-14       2.773663412971e-12       0.000000000000e+00 
    6       5.521052123840e-10       1.210563715392e-14       1.396997895671e-12       0.000000000000e+00 
    7       3.808248515848e-10       7.835088015299e-15       7.859833508500e-13       0.000000000000e+00 
    8       3.054441309827e-10       4.508001322882e-15       4.841046391209e-13       0.000000000000e+00 
    9       2.625245851724e-10       2.514690706893e-15       3.215493986115e-13       0.000000000000e+00 
   10       2.343116767671e-10       1.631164371778e-15       2.290957791100e-13       0.000000000000e+00 
   11       2.143299823855e-10       1.375034901247e-15       1.764806582915e-13       0.000000000000e+00 
   12       1.996273211232e-10       1.317661934106e-15       1.489954185720e-13       0.000000000000e+00 
   13       1.883960383335e-10       1.233722190846e-15       1.383516005219e-13       0.000000000000e+00 
   14       1.797081635794e-10       1.090186465252e-15       1.390161742426e-13       0.000000000000e+00 
   15       1.729146651443e-10       9.503627209531e-16       1.466823671844e-13       0.000000000000e+00 
   16       1.675867217486e-10       8.771695538298e-16       1.578932903143e-13       0.000000000000e+00 
   17       1.634437865151e-10       8.847408125020e-16       1.700204433338e-13       0.000000000000e+00 
   18       1.601959968154e-10       9.426049336588e-16       1.812654145200e-13       0.000000000000e+00 
   19       1.577061816190e-10       1.007727182182e-15       1.906165619787e-13       0.000000000000e+00 
   20       1.557912719491e-10       1.054539247489e-15       1.978278961488e-13       0.000000000000e+00 
   21       1.544461510215e-10       1.085863884905e-15       2.031116239195e-13       0.000000000000e+00 
   22       1.535516579434e-10       1.124645442728e-15       2.069135802937e-13       0.000000000000e+00 
   23       1.529683758746e-10       1.196787118349e-15       2.100112986235e-13       0.000000000000e+00 
   24       1.527611279646e-10       1.317571342890e-15       2.131040367751e-13       0.000000000000e+00 
   25       1.527810907328e-10       1.487962712763e-15       2.167824840510e-13       0.000000000000e+00 
   26       1.530899014121e-10       1.699731027587e-15       2.213433326385e-13       0.000000000000e+00 
   27       1.535778548595e-10       1.943710740351e-15       2.267801579888e-13       0.000000000000e+00 
   28       1.542299423397e-10       2.214880583105e-15       2.330755582284e-13       0.000000000000e+00 
   29       1.551462595787e-10       2.512618664444e-15       2.397204211728e-13       0.000000000000e+00 
   30       1.561021779581e-10       2.837670911535e-15       2.462410755944e-13       0.000000000000e+00 
   31       1.572851084390e-10       3.189143783304e-15       2.520878585078e-13       0.000000000000e+00 
   32       1.585665690444e-10       3.564020482288e-15       2.565655406092e-13       0.000000000000e+00 
   33       1.599001285445e-10       3.958510551353e-15       2.595546226408e-13       0.000000000000e+00 
   34       1.614590869440e-10       4.370265244432e-15       2.606694754979e-13       0.000000000000e+00 
   35       1.630177584470e-10       4.800829166083e-15       2.596735661860e-13       0.000000000000e+00 
   36       1.646962874426e-10       5.255804298109e-15       2.568163031147e-13       0.000000000000e+00 
   37       1.665139810202e-10       5.741782174177e-15       2.520633963000e-13       0.000000000000e+00 
   38       1.683082358666e-10       6.263853369719e-15       2.457654219875e-13       0.000000000000e+00 
   39       1.702452043162e-10       6.824321489561e-15       2.382727536550e-13       0.000000000000e+00 
   40       1.722415037639e-10       7.422647212333e-15       2.295028277489e-13       0.000000000000e+00 
   41       1.742560316031e-10       8.058364017688e-15       2.196591800489e-13       0.000000000000e+00 
   42       1.763991252853e-10       8.731495513053e-15       2.088053849931e-13       0.000000000000e+00 
   43       1.785425412633e-10       9.440857639833e-15       1.968808607511e-13       0.000000000000e+00 
   44       1.807138834369e-10       1.018597638448e-14       1.839266435747e-13       0.000000000000e+00 
   45       1.830075346229e-10       1.096744528909e-14       1.695598867567e-13       0.000000000000e+00 
   46       1.853064650908e-10       1.178563709312e-14       1.535183714173e-13       0.000000000000e+00 
   47       1.876268706390e-10       1.264025219128e-14       1.356501492018e-13       0.000000000000e+00 
   48       1.900272841214e-10       1.353089450600e-14       1.158300129039e-13       0.000000000000e+00 
   49       1.924929799807e-10       1.445788758313e-14       9.403410252372e-14       0.000000000000e+00 
   50       1.949904691507e-10       1.542176919106e-14       7.026408676158e-14       0.000000000000e+00 
   51       1.975113783793e-10       1.642315125581e-14       4.448803305639e-14       0.000000000000e+00 
   52       2.000576719086e-10       1.746271190437e-14       1.671573581331e-14       0.000000000000e+00 
   53       2.026515322367e-10       1.854128583467e-14      -1.282842221647e-14       0.000000000000e+00 
   54       2.053109156771e-10       1.965928568504e-14      -4.390673098616e-14       0.000000000000e+00 
