    l       TT                   phiphi                   Tphi
    2       1.381671904511       8.236364633229e-09       4.535747763566e-10 
    3       1.306686302056       5.068758719291e-09       3.217368713788e-10 
    4       1.236001513874       3.524741565266e-09       2.436997643700e-10 
    5       1.183076733232       2.631980183128e-09       1.925368701292e-10 
    6       1.146780157246       2.056887129178e-09       1.566785880278e-10 
    7       1.123124836031       1.660292114463e-09       1.303590150772e-10 
    8       1.109311672885       1.372926105849e-09       1.103958067309e-10 
    9       1.102859548545       1.156601654469e-09       9.490319417183e-11 
   10       1.101461231530       9.888508689760e-10       8.262928707071e-11 
   11       1.104529738888       8.333804263403e-10       7.300891549557e-11 
