# Matter power spectrum P(k) at redshift z=0
# for k=1.02888e-05 to 1.63242 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc),2:P (Mpc/h)^3
1.028876180610e-05,5.087653108378e+05 
1.295278369360e-05,6.347241784972e+05 
1.630658854535e-05,7.918270401058e+05 
2.052877869941e-05,9.878423632736e+05 
2.584420117779e-05,1.231611507206e+06 
3.253592161024e-05,1.534298942717e+06 
4.096029851127e-05,1.910364404779e+06 
5.156596067051e-05,2.375402851731e+06 
6.491769827169e-05,2.947285226202e+06 
8.172654002942e-05,3.644053211689e+06 
1.028876180610e-04,4.482138531020e+06 
1.295278369360e-04,5.465991518831e+06 
1.630658854535e-04,6.575553367361e+06 
2.052877869941e-04,7.743755074716e+06 
2.584420117779e-04,8.811830352404e+06 
3.253592161024e-04,9.493554482294e+06 
4.096029851127e-04,9.372280296043e+06 
5.156596067051e-04,8.038261439591e+06 
6.491769827169e-04,5.484028241536e+06 
8.172654002942e-04,2.573261531644e+06 
1.028876180610e-03,6.604444752632e+05 
1.295278369360e-03,7.921639624140e+04 
1.630658854535e-03,1.688624084472e+04 
2.052877869941e-03,1.604890760545e+04 
2.584420117779e-03,1.678496301602e+04 
3.253592161024e-03,1.880131500233e+04 
4.096029851127e-03,2.148623282254e+04 
5.156596067051e-03,2.463981527338e+04 
6.491769827169e-03,2.806197555358e+04 
8.172654002942e-03,3.148312233101e+04 
1.028876180610e-02,3.452413433226e+04 
1.295278369360e-02,3.668776472331e+04 
1.630658854533e-02,3.737613581935e+04 
2.052877857458e-02,3.601243080989e+04 
2.584409936613e-02,3.234311850422e+04 
3.252101512387e-02,2.692043743080e+04 
4.043861157251e-02,2.155632436296e+04 
4.721833703960e-02,1.850313204262e+04 
5.211764619996e-02,1.704865630243e+04 
5.614100078931e-02,1.616721834758e+04 
5.972536675055e-02,1.551544532036e+04 
6.306412081749e-02,1.495111350699e+04 
6.625902526480e-02,1.440340225819e+04 
6.937084600756e-02,1.383459805270e+04 
7.243937428847e-02,1.322644119476e+04 
7.549258472396e-02,1.257436849320e+04 
7.855130616169e-02,1.188412262625e+04 
8.163180986130e-02,1.116903478313e+04 
8.474733967415e-02,1.044767210661e+04 
8.790906487648e-02,9.741171264797e+03 
9.112669909276e-02,9.070730335499e+03 
9.440891655601e-02,8.455447769332e+03 
9.776364023500e-02,7.909854605000e+03 
1.011982460467e-01,7.442859069717e+03 
1.047197103955e-01,7.056681552145e+03 
1.083347183830e-01,6.746491455842e+03 
1.120497440666e-01,6.500739151212e+03 
1.158711104356e-01,6.301804858739e+03 
1.198050344227e-01,6.127496264372e+03 
1.238576607358e-01,5.953445337936e+03 
1.280350872950e-01,5.757053036957e+03 
1.323433843889e-01,5.521631276580e+03 
1.367886092228e-01,5.240470727793e+03 
1.413768172342e-01,4.918985445837e+03 
1.461140713571e-01,4.573862877752e+03 
1.510064502916e-01,4.229084365887e+03 
1.560600567520e-01,3.909934165233e+03 
1.612810266191e-01,3.636700916335e+03 
1.666755398903e-01,3.419635736617e+03 
1.722498342985e-01,3.256459946545e+03 
1.780102224626e-01,3.132873088799e+03 
1.839631134179e-01,3.027224213409e+03 
1.901150393751e-01,2.914391110825e+03 
1.964726885554e-01,2.774597016960e+03 
2.030429449656e-01,2.603582882227e+03 
2.098329360047e-01,2.413810860398e+03 
2.168500888534e-01,2.226793794504e+03 
2.241021966914e-01,2.062486528071e+03 
2.315974959320e-01,1.932077665530e+03 
2.393447558767e-01,1.833820809582e+03 
2.473533824905e-01,1.753132890172e+03 
2.556335384113e-01,1.670796252137e+03 
2.641962818593e-01,1.574521066137e+03 
2.730537278536e-01,1.464979931127e+03 
2.822192361195e-01,1.354715617137e+03 
2.917076313672e-01,1.258750152706e+03 
3.015354633348e-01,1.182092060913e+03 
3.117213162702e-01,1.118237519417e+03 
3.222861805930e-01,1.055537909554e+03 
3.332539036258e-01,9.866388272157e+02 
3.446517419842e-01,9.151180947486e+02 
3.565110461251e-01,8.493192259859e+02 
3.688681187182e-01,7.937404523808e+02 
3.817653044893e-01,7.440647093196e+02 
3.952523924754e-01,6.941597054488e+02 
4.093884461972e-01,6.431934796554e+02 
4.242442295986e-01,5.953911632554e+02 
4.399054776272e-01,5.526412428482e+02 
4.564773888569e-01,5.125221068664e+02 
4.740909269858e-01,4.725183634290e+02 
4.929118697536e-01,4.341888827828e+02 
5.131541547463e-01,3.988491918967e+02 
5.351001739267e-01,3.645309708068e+02 
5.591327455856e-01,3.311660159100e+02 
5.857876019099e-01,2.993854785954e+02 
6.158438280005e-01,2.682122973518e+02 
6.504888418712e-01,2.377444261011e+02 
6.916402090960e-01,2.074318016027e+02 
7.426232988377e-01,1.769250240297e+02 
8.097138929965e-01,1.455525628202e+02 
9.057864180165e-01,1.127182942994e+02 
1.057244474849e+00,7.887392049052e+01 
1.299129968679e+00,4.864131267829e+01 
1.632416564009e+00,2.820305848732e+01 
